チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
JTマーヴェラス,164,560,210,168,546,2201,920,103,41.8,37.1,283,118,28,107,1291,54,100,373,1073,564,236,1081,41.7,1.68,0.2,9.5,63.6
KUROBEアクアフェアリーズ,186,308,602,56,597,2603,875,175,33.6,26.9,275,97,29,105,1336,41,134,364,1377,531,411,1021,35.3,1.47,0.18,7.4,53.5
NECレッドロケッツ,170,602,280,182,558,2558,1031,120,40.3,35.6,267,96,25,131,1479,55,88,394,1204,527,299,1217,36.0,1.85,0.23,8.9,56.2
PFUブルーキャッツ,189,166,582,28,517,2120,669,110,31.6,26.4,192,51,18,75,1045,36,127,246,1157,484,301,780,26.6,1.29,0.15,6.3,54.8
デンソーエアリービーズ,216,490,266,140,499,2284,851,106,37.3,32.6,277,92,27,112,1253,47,70,337,1056,532,236,1010,33.2,1.71,0.22,9.1,61.6
トヨタ車体クインシーズ,202,336,504,84,506,2423,838,166,34.6,27.7,238,64,27,140,1297,63,110,363,1287,539,314,1041,26.9,1.66,0.28,9.7,54.1
ヴィクトリーナ姫路,177,294,700,42,672,3011,1060,155,35.2,30.1,155,47,17,95,1536,58,127,427,1482,665,304,1213,30.3,1.58,0.14,8.7,55.1
久光スプリングス,203,448,490,112,616,2553,949,123,37.2,32.4,140,35,14,154,1474,53,98,369,1369,636,307,1156,25.0,1.54,0.25,8.2,57.7
埼玉上尾メディックス,213,448,406,126,554,2648,944,117,35.6,31.2,256,75,21,115,1418,53,121,396,1242,584,279,1112,29.3,1.7,0.21,8.6,58.3
岡山シーガルズ,372,462,420,140,650,2733,998,107,36.5,32.6,50,13,4,111,1424,25,46,298,1259,626,234,1134,26.0,1.54,0.17,6.2,59.0
日立リヴァーレ,159,322,546,70,565,2489,876,172,35.2,28.3,137,35,11,136,1332,61,114,426,1300,589,331,1073,25.5,1.55,0.24,10.4,58.0
東レアローズ,120,714,140,238,562,2295,974,98,42.4,38.2,246,86,20,126,1434,73,128,399,1078,522,257,1173,35.0,1.73,0.22,9.8,60.3
