チーム,アタック打数,アタック成功,アタック失敗,アタック決定率,アタック効果率,ブロック成功,サーブ受数,サーブカット成功(優),サーブカット成功(良),サーブ打数,サービスエース,サーブミス,ブレイク,ローテ数,ブレイク率,サーブレシーブ成功率
JTマーヴェラス,282,120,14,42.6,37.6,15,152,78,33,143,9,14,64.0,103,0.62,62.2
KUROBEアクアフェアリーズ,180,74,7,41.1,37.2,11,96,44,25,107,3,12,23.0,74,0.31,58.9
NECレッドロケッツ,230,94,5,40.9,38.7,14,117,50,28,132,4,0,46.0,89,0.52,54.7
PFUブルーキャッツ,143,59,2,41.3,39.9,3,77,38,23,90,3,9,25.0,63,0.4,64.3
デンソーエアリービーズ,269,111,10,41.3,37.5,13,122,62,28,152,5,4,61.0,98,0.62,62.3
トヨタ車体クインシーズ,246,93,16,37.8,31.3,16,128,52,31,142,9,10,47.0,94,0.5,52.7
ヴィクトリーナ姫路,347,124,17,35.7,30.8,14,180,73,54,176,5,14,44.0,126,0.35,55.6
久光スプリングス,235,88,10,37.4,33.2,14,132,49,38,137,7,6,54.0,91,0.59,51.5
埼玉上尾メディックス,296,110,13,37.2,32.8,16,150,77,31,151,3,9,63.0,102,0.62,61.7
岡山シーガルズ,248,72,13,29.0,23.8,7,106,46,24,112,0,0,28.0,78,0.36,54.7
日立リヴァーレ,266,87,16,32.7,26.7,12,136,72,24,149,6,9,48.0,104,0.46,61.8
東レアローズ,190,99,7,52.1,48.4,10,104,52,21,115,3,7,47.0,85,0.55,60.1
